name,listingId
Auto Nejma,"1041513,102,608"
Mutandis,"45444984,102,608"
CTM,"277392,102,608"
COSUMAR,"26545773,102,608"
Dari Couspate,"2199434,102,608"
Rebab Company,"1033204,102,608"
Zellidja,"783273,102,608"
AFMA,"30475766,102,608"
SALAFIN,"3570640,102,608"
PROMOPHARM,"3208143,102,608"
Addoha,"2585582,102,608"
Afric Indus.,"14506826,102,608"
Afriquia Gaz,"1035527,102,608"
Agma,"1028379,102,608"
Akdital,"123429130,102,608"
Alliances,"4402446,102,608"
Aluminium Maroc,"521641,102,608"
Aradei Capital,"58537666,102,608"
ATLANTASANAD,"3428404,102,608"
Attijariwafa Bank,"56107421,102,608"
Auto Hall,"1028380,102,608"
Balima,"11737507,102,608"
BCP,"4998885,102,608"
BMCI,"781122,102,608"
BoA,"53613625,102,608"
Cartier Saada,"4826973,102,608"
CDM,"781650,102,608"
CFG Bank,"131057160,102,608"
CIH,"2395856,102,608"
Ciments Maroc,"18337,102,608"
CMGP GROUP,"140242147,102,608"
CMT,"4240267,102,608"
Colorado,"11349116,102,608"
Delta Holding,"4625623,102,608"
Disty Technolog,"120097655,102,608"
DISWAY,"2966429,102,608"
Ennakl,"11527959,102,608"
EQDOM,"490590,102,608"
FENIE BROSSETTE,"2789058,102,608"
HPS,"129902470,102,608"
IBMaroc.com,"1480974,102,608"
Immorente,"41302964,102,608"
INVOLYS,"2829140,102,608"
Jet Contractors,"14333999,102,608"
LABEL VIE,"4307141,102,608"
LafargeHolcim,"33076955,102,608"
Lesieur Cristal,"12479758,102,608"
M2M Group,"3250676,102,608"
Maghreb Oxygene,"821506,102,608"
Maghrebail,"680975,102,608"
Managem,"1103450,102,608"
Maroc Leasing,"608605,102,608"
Maroc Telecom,"1832967,102,608"
Med Paper,"123578755,102,608"
Microdata,"18738219,102,608"
Oulmes,"783261,102,608"
Resid Dar Saada,"26125006,102,608"
Risma,"1730672,102,608"
S2M,"14524535,102,608"
Sanlam Maroc,"11994556,102,608"
SMI,"659253,102,608"
SNA,"138953776,102,608"
SNEP,"3469755,102,608"
SODEP,"32976479,102,608"
Sonasid,"499831,102,608"
SOTHEMA,"112290536,102,608"
SRM,"2829208,102,608"
Ste Boissons,"16693,102,608"
STROC Indus.,"13194665,102,608"
TAQA Morocco,"23057746,102,608"
TGCC,"115038557,102,608"
TotalEnergie MM,"28148390,102,608"
Unimer,"12342334,102,608"
Vicenne,"146374042,102,608"
Wafa Assur,"935037,102,608"
